analysis_id,timestamp,image_name,face_index,dominant_emotion,dominant_confidence,angry,disgust,fear,happy,sad,surprise,neutral,detected_objects,strict_response,strict_clarity,strict_coherence,strict_factual_accuracy,strict_overall,structured_response,structured_clarity,structured_coherence,structured_factual_accuracy,structured_overall,natural_response,natural_clarity,natural_coherence,natural_factual_accuracy,natural_overall
00132d560c894b28bda309640ae2edff,2026-08-29T10:52:30.727203+00:00,1.jpg,1,neutral,99.11,0.395,0.0,0.004,0.004,0.484,0.0,99.113,person,"Two faces were detected in the image. Face 1 has a neutral facial expression with a confidence level of 99%. Face 2 has a predicted facial expression of fear with a confidence level of 42%. The person is standing, and there are no other objects visible in the image. The result is based only on model predictions.",62.0,88.0,100.0,83.3,"Two faces were detected in the image. Face 1 has a predicted facial expression of neutral with a confidence of 99%, while Face 2 has a predicted facial expression of fear with a confidence of 42%. The visual context includes a person. This description is based on the outputs of the AI models.",59.7,88.0,100.0,82.6,"The person in the image is standing, with a neutral expression on their face, which has been accurately predicted by the model with 99% confidence. However, upon closer inspection, it can be seen that the second face in the image displays a more intense emotional response, characterized as fear, with a confidence level of 42%. The person's facial expressions are the primary focus of this analysis, and no other objects or actions are present to provide additional context. This description reflects the model's predictions based on the detected facial expressions.",35.5,95.0,100.0,76.8
00132d560c894b28bda309640ae2edff,2026-08-29T10:52:30.727203+00:00,1.jpg,2,fear,41.68,0.212,0.001,41.676,0.426,29.108,0.128,28.45,person,"Two faces were detected in the image. Face 1 has a neutral facial expression with a confidence level of 99%. Face 2 has a predicted facial expression of fear with a confidence level of 42%. The person is standing, and there are no other objects visible in the image. The result is based only on model predictions.",62.0,88.0,100.0,83.3,"Two faces were detected in the image. Face 1 has a predicted facial expression of neutral with a confidence of 99%, while Face 2 has a predicted facial expression of fear with a confidence of 42%. The visual context includes a person. This description is based on the outputs of the AI models.",59.7,88.0,100.0,82.6,"The person in the image is standing, with a neutral expression on their face, which has been accurately predicted by the model with 99% confidence. However, upon closer inspection, it can be seen that the second face in the image displays a more intense emotional response, characterized as fear, with a confidence level of 42%. The person's facial expressions are the primary focus of this analysis, and no other objects or actions are present to provide additional context. This description reflects the model's predictions based on the detected facial expressions.",35.5,95.0,100.0,76.8
8322fcd64b3e4fd18313e231b5c76f60,2026-08-29T10:55:59.978895+00:00,2.jpg,1,fear,90.87,0.068,0.0,90.874,0.0,9.049,0.006,0.003,person,One person was detected in the image. The face with a predicted facial expression of fear has a confidence level of 91%. No other faces were detected. A person was present in the visual context. The result is based only on model predictions.,61.3,88.0,100.0,83.1,One person was detected in the image. Face 1 has a predicted facial expression of fear with a confidence level of 91%. No other faces were detected. The visual context includes no objects or features that can be associated with the face. This description is based on the outputs of the AI models.,60.5,88.0,100.0,82.8,"The person in the image is displaying a face of fear, with a predicted facial expression confidence level of 91%. This indicates that the model has identified a strong emotional response in the individual's facial features. The dominant facial expression appears to be one of anxiety or alarm, which is reflected in the person's raised eyebrows and tense facial muscles. The image provides no additional context for this emotion, but it does offer a clear visual representation of the detected facial expression. This description reflects model predictions based on the provided object detection results.",33.3,98.0,100.0,77.1
3d32ecf1b20745d08c8fb29896777a8f,2026-08-29T10:58:46.374238+00:00,3.jpg,1,happy,100.0,0.0,0.0,0.0,99.998,0.0,0.0,0.002,person,"One person was detected in the image. The face of this individual has a predicted facial expression of ""happy"" with a confidence level of 100%. No other faces were detected. A person was identified as the sole subject of the image. This result is based only on model predictions.",56.1,88.0,100.0,81.4,One person was detected in the image. Face 1 has a predicted facial expression of happy with a confidence level of 100%. No other faces were detected. The visual context includes no objects or features that can be associated with the detected person. This description is based on the outputs of the AI models.,54.7,88.0,100.0,80.9,"The person in the image is smiling, with a happy face, as indicated by the predicted facial expression. The confidence level for this prediction is 100%, suggesting high certainty about the detected emotion. There is only one face present in the image, and it is the dominant visual focus. The description of the person's facial expression reflects the model's predictions, which are based on the detected emotions.",44.0,88.0,100.0,77.3
a5b8b6b8ee6a44f7af012fc2fd4b9307,2026-08-29T11:03:31.699335+00:00,4.jpg,1,fear,43.88,0.005,0.0,43.883,0.553,30.885,0.011,24.662,person,"There are four faces in the image: one person, and three additional faces (Face 1, Face 2, and Face 3) with predicted facial expressions of fear, happy, and neutral respectively. The confidence levels for these predictions are 44%, 92%, and 98% respectively. Another face (Face 4) has a predicted facial expression of angry with a confidence level of 41%. These results are based only on model predictions.",44.2,93.0,100.0,79.1,"There are four faces detected in the image. The facial-expression classification for each face is as follows: Face 1 has a predicted expression of fear with a confidence of 44%, Face 2 has a predicted expression of happiness with a confidence of 92%, Face 3 has a predicted expression of neutrality with a confidence of 98%, and Face 4 has a predicted expression of anger with a confidence of 41%. The detected object is a person. This description is based on the outputs of the AI models.",48.0,77.0,60.0,61.7,"The person in the image is facing forward, with a dominant expression of happiness on their face, which has been predicted with a confidence level of 92%. However, another facial expression can be seen on this individual's face, characterized as fear, although it is less confident at 44%. A neutral expression is also present, with a high level of confidence at 98%, suggesting that the person may be trying to maintain composure. Meanwhile, an angry expression is visible on their face, but its confidence level is lower at 41%. The image provides these visual cues, which are reflected in the model's predictions.",47.1,100.0,80.0,75.7
a5b8b6b8ee6a44f7af012fc2fd4b9307,2026-08-29T11:03:31.699335+00:00,4.jpg,2,happy,92.05,0.212,0.0,1.268,92.054,5.453,0.01,1.003,person,"There are four faces in the image: one person, and three additional faces (Face 1, Face 2, and Face 3) with predicted facial expressions of fear, happy, and neutral respectively. The confidence levels for these predictions are 44%, 92%, and 98% respectively. Another face (Face 4) has a predicted facial expression of angry with a confidence level of 41%. These results are based only on model predictions.",44.2,93.0,100.0,79.1,"There are four faces detected in the image. The facial-expression classification for each face is as follows: Face 1 has a predicted expression of fear with a confidence of 44%, Face 2 has a predicted expression of happiness with a confidence of 92%, Face 3 has a predicted expression of neutrality with a confidence of 98%, and Face 4 has a predicted expression of anger with a confidence of 41%. The detected object is a person. This description is based on the outputs of the AI models.",48.0,77.0,60.0,61.7,"The person in the image is facing forward, with a dominant expression of happiness on their face, which has been predicted with a confidence level of 92%. However, another facial expression can be seen on this individual's face, characterized as fear, although it is less confident at 44%. A neutral expression is also present, with a high level of confidence at 98%, suggesting that the person may be trying to maintain composure. Meanwhile, an angry expression is visible on their face, but its confidence level is lower at 41%. The image provides these visual cues, which are reflected in the model's predictions.",47.1,100.0,80.0,75.7
a5b8b6b8ee6a44f7af012fc2fd4b9307,2026-08-29T11:03:31.699335+00:00,4.jpg,3,neutral,97.71,0.023,0.0,0.135,1.911,0.199,0.019,97.713,person,"There are four faces in the image: one person, and three additional faces (Face 1, Face 2, and Face 3) with predicted facial expressions of fear, happy, and neutral respectively. The confidence levels for these predictions are 44%, 92%, and 98% respectively. Another face (Face 4) has a predicted facial expression of angry with a confidence level of 41%. These results are based only on model predictions.",44.2,93.0,100.0,79.1,"There are four faces detected in the image. The facial-expression classification for each face is as follows: Face 1 has a predicted expression of fear with a confidence of 44%, Face 2 has a predicted expression of happiness with a confidence of 92%, Face 3 has a predicted expression of neutrality with a confidence of 98%, and Face 4 has a predicted expression of anger with a confidence of 41%. The detected object is a person. This description is based on the outputs of the AI models.",48.0,77.0,60.0,61.7,"The person in the image is facing forward, with a dominant expression of happiness on their face, which has been predicted with a confidence level of 92%. However, another facial expression can be seen on this individual's face, characterized as fear, although it is less confident at 44%. A neutral expression is also present, with a high level of confidence at 98%, suggesting that the person may be trying to maintain composure. Meanwhile, an angry expression is visible on their face, but its confidence level is lower at 41%. The image provides these visual cues, which are reflected in the model's predictions.",47.1,100.0,80.0,75.7
a5b8b6b8ee6a44f7af012fc2fd4b9307,2026-08-29T11:03:31.699335+00:00,4.jpg,4,angry,41.13,41.133,0.0,0.0,28.856,30.011,0.0,0.0,person,"There are four faces in the image: one person, and three additional faces (Face 1, Face 2, and Face 3) with predicted facial expressions of fear, happy, and neutral respectively. The confidence levels for these predictions are 44%, 92%, and 98% respectively. Another face (Face 4) has a predicted facial expression of angry with a confidence level of 41%. These results are based only on model predictions.",44.2,93.0,100.0,79.1,"There are four faces detected in the image. The facial-expression classification for each face is as follows: Face 1 has a predicted expression of fear with a confidence of 44%, Face 2 has a predicted expression of happiness with a confidence of 92%, Face 3 has a predicted expression of neutrality with a confidence of 98%, and Face 4 has a predicted expression of anger with a confidence of 41%. The detected object is a person. This description is based on the outputs of the AI models.",48.0,77.0,60.0,61.7,"The person in the image is facing forward, with a dominant expression of happiness on their face, which has been predicted with a confidence level of 92%. However, another facial expression can be seen on this individual's face, characterized as fear, although it is less confident at 44%. A neutral expression is also present, with a high level of confidence at 98%, suggesting that the person may be trying to maintain composure. Meanwhile, an angry expression is visible on their face, but its confidence level is lower at 41%. The image provides these visual cues, which are reflected in the model's predictions.",47.1,100.0,80.0,75.7
74ad3e3544a74a0f97ba4f6400e79cc2,2026-08-29T11:07:14.344443+00:00,5.jpg,1,happy,65.65,0.002,0.0,0.038,65.652,1.1,0.0,33.207,potted plant,"There are two faces present in the image, Face 1 has a predicted facial expression of happy with a confidence level of 66%, and Face 2 has a predicted facial expression of angry with a confidence level of 77%. A potted plant is also detected in the visual context. The results are based solely on model predictions.",50.0,73.0,100.0,74.3,"Two faces were detected in the image. Face 1 has a predicted facial expression of happy with a confidence level of 66%, while Face 2 has a predicted facial expression of angry with a confidence level of 77%. The visual context includes a potted plant. This description is based on the outputs of the AI models.",57.0,88.0,100.0,81.7,"A person is standing in front of a potted plant, which sits on a table beside them. Their face displays two distinct expressions - one side shows a happy smile with a confidence level of 66%, while the other side reveals an angry expression with a confidence level of 77%. The person's facial muscles are visible, and their eyebrows are slightly furrowed in the angry expression. Despite these contrasting emotions, the overall demeanor appears neutral. This description reflects model predictions based on detected facial expressions and object presence.",49.2,88.0,85.0,74.1
74ad3e3544a74a0f97ba4f6400e79cc2,2026-08-29T11:07:14.344443+00:00,5.jpg,2,angry,77.46,77.461,0.0,10.818,0.0,4.062,0.0,7.66,potted plant,"There are two faces present in the image, Face 1 has a predicted facial expression of happy with a confidence level of 66%, and Face 2 has a predicted facial expression of angry with a confidence level of 77%. A potted plant is also detected in the visual context. The results are based solely on model predictions.",50.0,73.0,100.0,74.3,"Two faces were detected in the image. Face 1 has a predicted facial expression of happy with a confidence level of 66%, while Face 2 has a predicted facial expression of angry with a confidence level of 77%. The visual context includes a potted plant. This description is based on the outputs of the AI models.",57.0,88.0,100.0,81.7,"A person is standing in front of a potted plant, which sits on a table beside them. Their face displays two distinct expressions - one side shows a happy smile with a confidence level of 66%, while the other side reveals an angry expression with a confidence level of 77%. The person's facial muscles are visible, and their eyebrows are slightly furrowed in the angry expression. Despite these contrasting emotions, the overall demeanor appears neutral. This description reflects model predictions based on detected facial expressions and object presence.",49.2,88.0,85.0,74.1
